ident,Height,Width,Average,Perceptual,Difference,HaarWavelet
82dd91dc60d7a36257237f229df31b70,3500,9462,fffffffff7ffe7ffffffe7ffec7ff83ff03fe7ffc7ffcfff9fff1fff3fffffff,bf3ef018c5f31f03707c23e1ce0f88fc73c0230fce389c6131ef7300c63bdcc1,000000000800080008800c0008e011e027504c001a40940030006800d0002000,fc00fc00e400e400e4f0e4f0e030f030003003f007f00ff080f010f000f000f0
a4759f06b88c45d2153555b988ac52a8,7488,3456,07ffe0fffc3fff0fffc7ffe3fff3fff3fff3fff3fff1fff8fff9fff9fff1fff3,ca94a54ab5a916a59a56daab894bc93dcda94e95a49446d2a66b6356b3297335,5c20078800e4083a010c00260006000600030013001300010003001300030007,03ff807ff80ffe070f830fc30fe10fe100e100e000f000f000f000f000e000e1
c560455590a29b83e0c615c911e0e5e5,6912,6912,ffffffffff8fff8fffcfffefffefffc9ffc1ff91ffc3ffcfffcfffc7fff3fff3,e9b4b5ad925a6496d2d9a96db5494a49b4b4ad5a259352d26d2daad489696da4,0020001800980094005a004a0008005b0093009300960090001a004d00260016,00ff00cf008f008f00c300e300ef00c1004100010003000f000f000700030003
291ae123af90c4831e5a504e909e52ec,6336,1536,ffcfff0ffc0df83fe07fc0ff00ffc1ffc1ffe1ffe0ffc1ffc1ffe3ffe3fff1ff,b88f63b4c731cd80cdbc1c0799989870b3c6b278b3ce1ecfe299f0f3062333b8,001e001b007900e001d107a05bc00fc00b4007c001c013c006800f8007800340,ff03fe01f001e00fc03f807f007f007f807f807f807f807f80ff80ff80ffc07f
e3f0542a702cef736b649df9a3a98e8c,6336,1472,fe1ffe1ffe0ffc0fff07ff87ff83ff83ffc1ff83ff07fe0ff81fe03f83ff8fff,ed336433b6346637db92305acd4b1a8ee2a53f4d635b4f2372292f93612426e8,00b40038009c007e021e010f000e0017000b0007026c105e00f803e01f003820,fc0ffc07fc07f803fc03fe01fe01ff00ff00fe00fc03f807e007800f00ff07ff
98b21ebe0f82df97ce203d54227d5744,6336,10496,fffffffffffffe3ffe7fff79ff39ff31e733e73be73fff3ffe7ffe7ffe7fffff,e66cc3a391b33c19589c43e69d8f3d326244c789762d6ecc9913990e99b95ab5,000000000040006202e002d3025304532c6649624968107002d0008000800000,0ff00ff00ff00e300e070f010f010701e703e703e70fff0ffe00fe40fe00ff80
5a8ea27b08b81d698970b6eb520a05dc,1472,6784,fff7fff1fca1f821f021f023e03787ff8fffdfffffffffffffffffffffffffff,fa697a49c097c5928f9ebc5c706421e41fc7bc0ff01a23f80bcbdc09dc3906f8,0206008701a703c702cf25e70c671c2038842400100020000000000000000000,ffc1fc00f800f000c000000000000001000103ff03ff9fffffffffffffffffff
d375f524d50db8fcf857eadcb70ef5d1,1408,3648,fffffffffffffff3fff1ffc3ff03fe07c007800f801f807f25ff3fffbfffffff,ae5fcac090bd35af6d20c17f1bc21cb9721fe2f6cd84390d827be60235a09cb9,00030001000300130027010612164c4f0c0d1a3a5e745ad85ba054404a000000,fff9fff9fff1ffe0ff80fe00e0008001800380070007001f003f00ff07ff7fff
30dbd061bed3964c478e64269bb5870e,1792,7232,fff3ffe0e3c0e380e18fc11f883f8c3f9e7fbeff3fff3fff3fff7fff7fff7fff,8cfe7cc0c813c37f8360a68cbc9fbcb3a4729558555b15533573a515a53da524,000304030e884e14073c13723b68387074d068a060a05000d000d000c0008000,3ce1208021800100c000800b801f801f0c3f1e7f0e7f2eff30ff30ff30ff70ff
b4f0d7902a6f054dd1236f880fe1b872,1472,2496,ffffe3ffc3ff81ff80ffa03fe81ffc0ffe03ff81ffc1ffc1fff0fffcffffffff,faaf3c5f9c2aca20e410f62843fd81fec3fca192d481ea45b522d1b169f813c7,08000d009680132061d042e0117c40b9145602270113004b0001001100040000,c3f081f000f00070003f000f0007c001f801fc00ff00ff80ffc0ffe0fff0fffc
